PROBEID	CHRO	BASEPOS	VALUE
ID_2_5771	1	750761	-0.1136
ID_3_2485	1	774363	-0.0462
ID_4_5706	1	822262	0.1101
ID_5_323	1	1598122	-0.1301
ID_6_705	1	1623097	-0.1401
ID_7_1391	1	2139206	0.0453
ID_8_122	1	2235268	0.0805
ID_9_452	1	3600035	-0.0091
ID_10_2557	1	3616356	0.0073
ID_11_2492	1	3726548	-0.1458
ID_12_1379	1	4790930	-0.1296
ID_13_2054	1	6555219	0.0513
ID_14_2887	1	6580529	-0.1482
ID_15_2533	1	7940468	-0.1139
ID_16_2974	1	7941100	-0.0996
ID_17_3027	1	8342281	-0.0334
ID_18_4568	1	9845979	-0.0381
ID_19_2730	1	11152766	-0.1932
ID_20_296	1	11188993	-0.2298
ID_21_2330	1	11296696	-0.0476
ID_22_2612	1	11711423	-0.0982
ID_23_571	1	11749302	-0.0761
ID_24_2710	1	12170091	-0.0943
ID_25_2716	1	13537224	-0.1390
ID_26_3045	1	13979809	0.0673
ID_27_1116	1	15020910	-0.1145
ID_28_259	1	16171263	-0.0868
ID_29_2753	1	16367732	-0.0483
ID_30_2448	1	17200882	0.0082
ID_31_2454	1	18810466	-0.0600
ID_32_2946	1	19865826	-0.0932
ID_33_2849	1	19873525	-0.0353
ID_34_2178	1	20169275	-0.1244
ID_35_2339	1	20183807	-0.0342
ID_36_986	1	21801530	-0.0585
ID_37_435	1	21898361	-0.0503
ID_38_38	1	22296307	-0.0237
ID_39_2882	1	22777874	-0.1320
ID_40_2073	1	23700531	0.1018
ID_41_2396	1	23771174	-0.0721
ID_42_2399	1	25248114	-0.1638
ID_43_728	1	26111196	-0.1032
ID_44_2062	1	26250761	0.0469
ID_45_119	1	27901922	-0.1154
ID_46_2636	1	28097271	-0.0162
ID_47_922	1	28290716	-0.1449
ID_48_388	1	28295409	-0.0060
ID_49_968	1	30101792	-0.0742
ID_50_481	1	31914404	-0.0787
ID_51_2671	1	32125754	-0.0886
ID_52_405	1	32446814	-0.1486
ID_53_2530	1	32449772	-0.1410
ID_54_5295	1	32574447	-0.0376
ID_55_849	1	34491805	-0.2205
ID_56_1141	1	35748201	-0.1186
ID_57_2005	1	36016802	0.0383
ID_58_2315	1	36027267	0.0433
ID_59_304	1	36679236	-0.1777
ID_60_99	1	38370173	-0.1798
